,arousal,valence
2rPE9A1vEgShuZxxzR2tZH,0.2748444870373731,0.31212828214792676
5p7ujcrUXASCNwRaWNHR1C,0.2726300204711687,0.31089056502633866
1A6OTy97kk0mMdm78rHsm8,0.22947195956484562,0.2503744359940806
5tAa8Uaqr4VvA3693mbIhU,0.2983607555514677,0.3157139008770238
2LskIZrCeLxRvCiGP8gxlh,0.22947195956484562,0.2503744359940806
6rrTr2HEAzlpC4KWZxF3S1,0.2924134335532849,0.3441251585374332
2RSHsoi04658QL5xgQVov3,0.297335595928482,0.31849156886121344
14sOS5L36385FJ3OL8hew4,0.22947195956484562,0.2503744359940806
5JEx7HbmvHQQswJCsoo9rA,0.22947195956484562,0.2503744359940806
14JzyD6FlBD5z0wV5P07YI,0.2806832973919938,0.32642052502028956
25sgk305KZfyuqVBQIahim,0.3059149207298941,0.3147579311397117
5sdb5pMhcK44SSLsj1moUh,0.22947195956484562,0.2503744359940806
7jr3iPu4O4bTCVwLMbdU2i,0.28931077535431926,0.3310356202046069
4CH66Rxcjcj3VBHwmIBj4T,0.22947195956484562,0.2503744359940806
4w8niZpiMy6qz1mntFA5uM,0.2588546518725379,0.2904494359940806
1uru26I2JKd2mQZt0MDCUe,0.2876250207893354,0.34765286165005727
116H0KvKr2Zl4RPuVBruDO,0.23682309413172864,0.26016765321094976
3WefHNGtjexZvi66ZEx9u4,0.22947195956484562,0.2503744359940806
6xtcFXSo8H9BZN637BMVKS,0.2794470632992854,0.3236690418032092
6SkHm6poyKfzV6kc9any8k,0.2662825656265981,0.31014261782559605
