,mean,std,min,max
F0final_sma_mean,128.51492605875907,61.19582720814536,6.347347715909091,424.2203613636362
voicingFinalUnclipped_sma_mean,0.7631330002150956,0.041008484803966884,0.4924769647727274,0.9157857772727273
jitterLocal_sma_mean,0.07454712412112781,0.021687721350195015,0.00316153964034091,0.15521417681818184
jitterDDP_sma_mean,0.0779796241526212,0.024014171167903605,0.0012214766022727273,0.17590855471910108
shimmerLocal_sma_mean,0.15616223277812555,0.035411367484932274,0.007276678668181819,0.2815493932584269
logHNR_sma_mean,-3.729924850749212,13.77138532836592,-93.94507431818184,15.379003238636365
audspec_lengthL1norm_sma_mean,2.072814698290619,0.9695843276876054,0.3598577318181817,7.273437397727273
audspecRasta_lengthL1norm_sma_mean,1.2111804879534507,0.21574303013165638,0.9926566909090906,2.2910528068181817
pcm_RMSenergy_sma_mean,0.11170822484742167,0.06493067646471748,0.00855347350786517,0.5574272727272729
pcm_zcr_sma_mean,0.04625252931557516,0.024173568188851184,0.007320030955056178,0.3475961193181817
audSpec_Rfilt_sma[0]_mean,0.18158556087758992,0.06833394420887692,0.12941406818181814,0.5525288977272728
audSpec_Rfilt_sma[1]_mean,0.3749586583868535,0.1287240105182166,0.2731224079545453,0.9509872920454544
audSpec_Rfilt_sma[2]_mean,0.5626173987627882,0.17572611374066194,0.42194606250000016,1.4146411483146069
audSpec_Rfilt_sma[3]_mean,0.7268147240531091,0.20839628594351375,0.5574475318181819,1.7213058988764036
audSpec_Rfilt_sma[4]_mean,0.8671726567122235,0.23480318182198476,0.6718134647727271,1.8243205340909088
audSpec_Rfilt_sma[5]_mean,0.9836135927111548,0.25836405900833254,0.7683794988636364,2.3496898499999994
audSpec_Rfilt_sma[6]_mean,1.0721474515337346,0.26159135053732724,0.8511304590909087,2.8394320056818185
audSpec_Rfilt_sma[7]_mean,1.1539954938161998,0.26974502907805725,0.9217603954545452,2.8933262505617963
audSpec_Rfilt_sma[8]_mean,1.226233704380217,0.27687260246552364,0.9863385727272728,3.4829759573033723
audSpec_Rfilt_sma[9]_mean,1.2928143875986073,0.2751493636377416,1.0459561125,2.7945394943181823
audSpec_Rfilt_sma[10]_mean,1.3575277994763637,0.28087203643556796,1.1050920113636369,3.4180801404494385
audSpec_Rfilt_sma[11]_mean,1.4220332085239618,0.28004265626051816,1.1631179545454549,2.9372248750000014
audSpec_Rfilt_sma[12]_mean,1.4879748804601467,0.2898900451600416,1.2211171477272729,3.23831059090909
audSpec_Rfilt_sma[13]_mean,1.5495004756427309,0.2931156966935543,1.2732207613636364,3.6376520449438194
audSpec_Rfilt_sma[14]_mean,1.6084710458240685,0.2963414766275494,1.328035284090909,3.3745770898876395
audSpec_Rfilt_sma[15]_mean,1.663977299299713,0.30277884495511553,1.377240920454545,3.2259057528089885
audSpec_Rfilt_sma[16]_mean,1.7106245625261753,0.30407148333858236,1.4195909886363631,3.3385132386363634
audSpec_Rfilt_sma[17]_mean,1.7415415608266498,0.2988216128568429,1.4490963977272724,3.432101295454545
audSpec_Rfilt_sma[18]_mean,1.7505986823738313,0.2938829653343475,1.4585265795454547,3.4879341250000007
audSpec_Rfilt_sma[19]_mean,1.714869390570444,0.27730669060452484,1.4345705454545452,3.5433549204545445
audSpec_Rfilt_sma[20]_mean,1.6222445647269566,0.25306420819189995,1.3613664431818182,3.332352965909091
audSpec_Rfilt_sma[21]_mean,1.474245339031603,0.22888307594806928,1.2337981931818178,3.0945902613636367
audSpec_Rfilt_sma[22]_mean,1.279439191934321,0.1933693597288405,1.0705301409090906,2.7434874886363647
audSpec_Rfilt_sma[23]_mean,1.0735122879889227,0.1616218931125379,0.8989634886363639,2.2231532045454543
audSpec_Rfilt_sma[24]_mean,0.8797750045452126,0.13177424747487962,0.7358085431818182,1.7887136238636363
audSpec_Rfilt_sma[25]_mean,0.7124037859182462,0.10646878481192319,0.5954845249999997,1.4462181494382016
pcm_fftMag_fband250-650_sma_mean,1.5453980896274926,2.2571586071853122,0.003139550863636364,34.88188168539325
pcm_fftMag_fband1000-4000_sma_mean,0.8064193443127078,1.653050280078803,0.0018682991534090913,24.541121886363634
pcm_fftMag_spectralRollOff25.0_sma_mean,266.4494284801244,185.01385824386062,46.10552340909087,3713.063264772727
pcm_fftMag_spectralRollOff50.0_sma_mean,458.251106178094,310.129928844069,60.639759213483146,6242.175525000002
pcm_fftMag_spectralRollOff75.0_sma_mean,842.4103093526035,546.9249460386205,111.36744409090916,8975.803852272727
pcm_fftMag_spectralRollOff90.0_sma_mean,1516.877297361146,931.6356300684931,184.8886488636364,11233.180602272725
pcm_fftMag_spectralFlux_sma_mean,0.9175622192661811,0.5822305931728228,0.041256729772727284,4.6779854831460685
pcm_fftMag_spectralCentroid_sma_mean,711.2835056287278,391.28051867254754,125.90047534090913,6414.724511363632
pcm_fftMag_spectralEntropy_sma_mean,3.5555868703123323,0.6187682806696055,1.3777174494382018,5.569460415730336
pcm_fftMag_spectralVariance_sma_mean,1338486.9399748931,1476640.3508994244,7831.448954545453,19829713.22966292
pcm_fftMag_spectralSkewness_sma_mean,8.605482475736611,7.138600342690584,-0.3948379761363636,84.58851102272727
pcm_fftMag_spectralKurtosis_sma_mean,513.1402816721857,1285.7548183280069,4.4609159431818215,20370.59806818182
pcm_fftMag_spectralSlope_sma_mean,-0.8829726058646846,1.2161545812293197,-14.649696511363633,-0.004340722206853932
pcm_fftMag_psySharpness_sma_mean,0.5861635565053862,0.26683316834501586,0.11897219647727275,4.6670994318181815
